Id,Label,Grupo,Conexiones
Apis mellifera,Apis mellifera,Insecta,59
Trifolium repens,Trifolium repens,Plantae,8
Trifolium pratense,Trifolium pratense,Plantae,8
Taraxacum officinale,Taraxacum officinale,Plantae,7
Cirsium vulgare,Cirsium vulgare,Plantae,8
Lantana camara,Lantana camara,Plantae,13
Eriobotrya japonica,Eriobotrya japonica,Plantae,10
Tropaeolum majus,Tropaeolum majus,Plantae,2
Molothrus bonariensis,Molothrus bonariensis,Aves,12
Zonotrichia capensis,Zonotrichia capensis,Aves,18
Cucurbita pepo,Cucurbita pepo,Plantae,3
Baccharis latifolia,Baccharis latifolia,Plantae,4
Bombus pauloensis,Bombus pauloensis,Insecta,17
Lobularia maritima,Lobularia maritima,Plantae,3
Rattus norvegicus,Rattus norvegicus,Mammalia,4
Rattus rattus,Rattus rattus,Mammalia,6
Raphanus raphanistrum,Raphanus raphanistrum,Plantae,5
Persea americana,Persea americana,Plantae,9
Thunbergia alata,Thunbergia alata,Plantae,3
Tecoma stans,Tecoma stans,Plantae,2
Sambucus nigra,Sambucus nigra,Plantae,10
Leptophobia aripa,Leptophobia aripa,Insecta,5
Coriandrum sativum,Coriandrum sativum,Plantae,1
Vallea stipularis,Vallea stipularis,Plantae,4
Veronica persica,Veronica persica,Plantae,3
Ardea alba,Ardea alba,Aves,10
Egretta thula,Egretta thula,Aves,2
Eristalinus taeniops,Eristalinus taeniops,Insecta,3
Piranga rubra,Piranga rubra,Aves,7
Mus musculus,Mus musculus,Mammalia,5
Bidens laevis,Bidens laevis,Plantae,3
Morella pubescens,Morella pubescens,Plantae,14
Turdus fuscater,Turdus fuscater,Aves,2
Ganoderma applanatum,Ganoderma applanatum,Fungi,4
Schinus molle,Schinus molle,Plantae,5
Vanessa carye,Vanessa carye,Insecta,6
Catharus ustulatus,Catharus ustulatus,Aves,7
Vireo olivaceus,Vireo olivaceus,Aves,10
Porzana carolina,Porzana carolina,Aves,1
Ricinus communis,Ricinus communis,Plantae,5
Capsella bursa-pastoris,Capsella bursa-pastoris,Plantae,3
Thraupis palmarum,Thraupis palmarum,Aves,8
Prunus serotina,Prunus serotina,Plantae,12
Spinus psaltria,Spinus psaltria,Aves,6
Tyrannus tyrannus,Tyrannus tyrannus,Aves,4
Columba livia domestica,Columba livia domestica,Aves,14
Fulica americana,Fulica americana,Aves,7
Typha latifolia,Typha latifolia,Plantae,4
Acacia dealbata,Acacia dealbata,Plantae,3
Harmonia axyridis,Harmonia axyridis,Insecta,8
Steatoda nobilis,Steatoda nobilis,Arachnida,2
Buteo platypterus,Buteo platypterus,Aves,5
Coccyzus americanus,Coccyzus americanus,Aves,1
Troglodytes musculus,Troglodytes musculus,Aves,1
Elanus leucurus,Elanus leucurus,Aves,3
Ipomoea purpurea,Ipomoea purpurea,Plantae,1
Catharus fuscescens,Catharus fuscescens,Aves,3
Dione glycera,Dione glycera,Insecta,5
Streptosolen jamesonii,Streptosolen jamesonii,Plantae,6
Contopus virens,Contopus virens,Aves,2
Tyrannus melancholicus,Tyrannus melancholicus,Aves,10
Colibri coruscans,Colibri coruscans,Aves,10
Nicotiana tabacum,Nicotiana tabacum,Plantae,2
Bocconia frutescens,Bocconia frutescens,Plantae,16
Modiola caroliniana,Modiola caroliniana,Plantae,2
Crocosmia × crocosmiiflora,Crocosmia × crocosmiiflora,Plantae,2
Cornu aspersum,Cornu aspersum,Mollusca,2
Verbena litoralis,Verbena litoralis,Plantae,1
Empidonomus varius,Empidonomus varius,Aves,3
Thraupis episcopus,Thraupis episcopus,Aves,5
Baccharis macrantha,Baccharis macrantha,Plantae,1
Physalis peruviana,Physalis peruviana,Plantae,3
Solanum quitoense,Solanum quitoense,Plantae,3
Zelus longipes,Zelus longipes,Insecta,3
Colias dimera,Colias dimera,Insecta,3
Mimus gilvus,Mimus gilvus,Aves,1
Clusia multiflora,Clusia multiflora,Plantae,5
